"Condition","Mean_Richness","SD_Richness","Mean_Shannon","SD_Shannon","Mean_Simpson","SD_Simpson","n"
"FW_stress",101.333333333333,15.502687938978,2.15883377240398,0.322197032962032,0.774621820035615,0.0851661161468688,3
"SFW_intermediate",155,28.8444102037119,3.6952734094794,0.0879606419889706,0.969463896649384,0.00529746572531728,3
"SW_control",163.25,25.5130685466619,3.56286673550976,0.157903469576232,0.954181989683023,0.0177333745308611,4
